Floor_Num,Total_Floor_Area,Column_Area,Concrete_Wall_AreaNS,Concrete_Wall_AreaEW,Masonry_Wall_AreaNS,Masonry_Wall_AreaEW,Captive_Columns,Damage_Class
2,19321,67,0,0,0,102,0,3
1,6209,22,0,0,0,18,0,1
3,5354,16,0,0,15,4,1,1
2,3333,15,0,0,11,0,0,1
3,3084,8,0,0,40,19,0,3
2,3132,7,0,0,24,32,1,3
2,4828,8,0,0,27,39,0,2
2,16640,69,0,0,58,47,0,3
2,3659,13,0,0,61,33,1,3
2,6313,28,0,0,47,23,0,1
1,2725,25,0,0,18,13,0,3
2,5969,35,0,0,0,42,0,2
3,9011,35,0,0,89,25,0,3
2,11980,34,0,0,0,61,0,1
2,2191,3,0,0,37,59,1,2
2,2774,4,0,0,32,67,0,1
2,6932,32,0,0,78,67,0,1
2,2520,15,0,0,19,9,0,3
2,5526,8,0,0,50,40,0,1
2,4826,11,0,0,3,62,0,1
2,3026,14,0,0,12,33,0,1
2,3082,7,0,0,17,42,1,1
3,20798,62,0,0,70,111,1,1
2,2067,13,0,0,17,0,1,1
2,3609,20,0,0,0,20,1,3
2,2532,14,0,0,4,47,1,3
4,22471,40,0,0,87,130,0,1
4,17979,27,0,0,69,75,1,3
1,4265,43,0,0,42,52,1,2
2,10800,54,0,0,111,45,1,3
2,15288,72,0,0,75,38,1,3
2,4836,45,9,5,101,43,1,2
3,8274,31,0,0,62,23,1,1
4,19080,54,0,0,61,0,1,3
3,7341,26,0,0,55,63,1,2
3,8238,29,0,0,35,0,0,3
4,15717,57,0,0,37,24,1,2
2,20374,67,0,0,0,178,1,3
1,8582,30,0,0,0,49,1,1
3,12225,26,0,0,21,12,1,1
2,3420,14,0,0,20,27,1,1
1,3825,29,0,0,0,26,1,3
2,4796,5,0,0,0,0,0,1
3,4344,15,0,0,0,34,0,3
2,5120,20,0,0,0,0,0,3
2,3490,13,0,0,21,11,0,3
3,8277,10,0,0,0,0,1,3
2,12136,38,0,0,0,24,1,3
2,7268,32,0,0,38,0,1,2
3,4380,14,0,0,22,0,1,3
1,3099,45,0,0,0,0,1,2
2,5016,41,0,0,0,60,1,1
3,7524,41,0,0,0,60,1,2
2,1824,5,0,0,20,9,1,1
2,1600,6,0,0,16,0,1,3
1,2295,21,0,0,9,38,1,2
2,1562,7,0,0,41,0,0,3
2,1932,7,0,0,36,6,1,3
2,5810,11,0,0,30,45,0,3
1,1847,9,0,0,6,0,0,1
2,7678,21,0,0,13,0,1,3
2,1878,10,0,0,0,0,0,3
3,2343,6,0,0,0,0,0,3
5,25390,90,0,0,0,0,0,3
12,130200,189,58,58,0,0,0,1
3,6795,41,0,0,0,39,0,3
